rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
1354,FALSE,FALSE,___Kiwi,99,Pathfinder,119e75cf11b1456592495b1cb25d2e705dc72ef5485545c21f2ba19e18ad6ae3,3932818530,Kiwi2016,29,gggnz,Harbinger
1354,FALSE,FALSE,SSF_Lalalala,91,Berserker,3b6620a78f2f005cf8163f6798db94a9736805591bbca65f55d6495bb8e0ad0b,2102157582,Drudner,23,null,SSF Harbinger
1354,FALSE,FALSE,KastaBautasten,95,Raider,a0af06855e5776335d47061aa8d75ed333022996f33ebf670fe0d84f67c93ddf,2920082667,Julpyntarn,26,null,Hardcore Harbinger
1354,TRUE,FALSE,SunderWillCarryMe,88,Gladiator,a65056bf9cb1ddf8c4bdeeeccc19e94fc75dd8aac443893cde9859890b6537e9,1646943474,ronaldnz12,24,null,SSF Harbinger HC
1355,TRUE,FALSE,Droenage,88,Chieftain,4a5860142fc9efbc1e246270c001f6274601325c9619feaf33ef7c9e0f9c04be,1646943474,Drownage_,26,null,SSF Harbinger HC
1355,FALSE,FALSE,Sincero_SsF,91,Ascendant,8f311ebb60301b7bdf7228e6bd602fdfffaa062499c49fa668333dd75399ce23,2102094582,kenedy1,40,null,SSF Harbinger
1355,TRUE,FALSE,LGFDPASJGAPSDJFLKASDJFL,95,Berserker,bc224acac2c454d8c11e8ca96136cc4df152285db2303369a249a051058a73c1,2920003362,deemi,25,frwnke,Hardcore Harbinger
1355,FALSE,FALSE,Гениральный_директор,99,Berserker,cba9086aa991bb4f192481a13413f94872e0109b68c99de7c1d81a86f13d9687,3932818530,Nikolay198504,40,hell_bf,Harbinger
1356,TRUE,FALSE,imSSF_amIcoolnow,88,Chieftain,3358f6b433a6dc13c809f9ea4c199cec9ed34c0685ce1ab62f0d5e02c6bbbf3a,1646943474,BrianTheBad,18,null,SSF Harbinger HC
1356,TRUE,FALSE,BarkSingSong,95,Chieftain,34ed0c6e131e9212b5ddb97fd1edc0b4e684431a628cb17af5594f4f18740b6f,2919456042,tamagoben,34,null,Hardcore Harbinger
1356,FALSE,FALSE,Bloodthebunny,91,Slayer,b6643d45a026c83382a6969d8a001eb4c27ffca4b7f3305fbf774aa9388241b0,2101884149,Bobthebunny,39,bobthebunny,SSF Harbinger
1356,FALSE,FALSE,build_diversity_tm,99,Pathfinder,f4555dded674925ec23c14d93eee88b2ddcf1f9770ff684a4850d7a7841fd99c,3932818530,juerk,29,null,Harbinger
1357,TRUE,FALSE,H_Sykon,88,Slayer,5b863bc4f5e6081b286b8141e24e41cfcadc6f6d01c00ef845205ab149beb3a5,1646943474,Thyrr,22,null,SSF Harbinger HC
1357,FALSE,FALSE,Spook_Nukem,91,Gladiator,5e0bdf0b1d437843ee9973a3cf6c9a2c300450745f2c8f1b8c6a2e2b4a248222,2101824383,Primal21,24,null,SSF Harbinger
1357,FALSE,FALSE,Borebinger,95,Trickster,765de0fe89422964311d0118b3200afdea3dc5189befb68008fdce3a18727c52,2918921738,visibledark,28,saddic_gladdic,Hardcore Harbinger
1358,TRUE,FALSE,CodeSunderA,88,Gladiator,5d8187697c1b0960ccd7dd4e0d9f7e6ec6ef038f87b9e8aafe22385991d8a481,1646943474,Codeguard,24,null,SSF Harbinger HC
1358,FALSE,FALSE,Nightcorevivivi,91,Deadeye,a364163a008fe088b9b558c4beddffca183049a4d729e7686c7209f8a000aeeb,2101769126,KawaiiNekoNya,20,null,SSF Harbinger
1358,FALSE,FALSE,Pachur_RF,99,Berserker,db20dbf2cc7070e69ef0fd14efd847372b63681e28791497eda5c68c599ff84e,3932818530,ProfPachur,40,null,Harbinger
1358,FALSE,FALSE,TwohandPowerAssFisting,95,Berserker,fbc234414bf22a4d3385ea54ed0ead6026d541859466fe93b69d3936bce1a96e,2918730521,Gud,26,null,Hardcore Harbinger
1359,TRUE,FALSE,zievanna,88,Ascendant,20ed688571e1bc8d442709b09503ded7252165279701565f9387c89347d50834,1646943474,flanelostopy,29,null,SSF Harbinger HC
1359,FALSE,FALSE,Jainus,91,Raider,33ce5468cf5e7b6245879fda9620cae58593e8feebe018f4965e823a74df0eee,2101665912,Validua,26,null,SSF Harbinger
1359,FALSE,FALSE,MalagantGoodTimes,95,Gladiator,b4899a64de022058af403f7f66d9d7e5a28c84a39a9927fd75449afa35a9bcd7,2918553659,kreb,27,malagant_tv,Hardcore Harbinger
1359,FALSE,FALSE,krrrb,99,Occultist,cc1dbdc33dd95651c9ed826a41b66d08bd9f72f2931a9bf6ac0ce59982da92b5,3932818530,Kirbek,33,null,Harbinger
1360,FALSE,FALSE,Dodge_This_DP_SSF,91,Berserker,6597eae644621ccb14ba65cb8b29885ec6a6d4538acedbd1f619841a5c9c6b59,2101622139,Masterswotl,36,sandtwitchmaker,SSF Harbinger
1360,TRUE,FALSE,Deadinactsix,95,Inquisitor,79d69e931a051b8e0088c2307eaab409cf6e8a86f93d21055c94ecab322ea30f,2918504842,Bubbadub,28,null,Hardcore Harbinger
1360,TRUE,FALSE,FucktardMcFuckface,88,Gladiator,a7953810b855f55fb8049bceffe8b2af92161d906d79bbbf05648e74cec5b6dd,1646943474,Dordreyu,36,null,SSF Harbinger HC
1360,FALSE,FALSE,NutCrackerR,99,Chieftain,e92790ed6af842ec853eae2a64c20b310103ae0514385719a01638f67209c76a,3932818530,hnlyhyb,35,hnlyhyb,Harbinger
1361,FALSE,FALSE,sumthing_p,98,Raider,42d3db295e3c6fab20c0a47ea81d21ce5dbd69bb97e729c2c7eab4e7d164fb29,3932566434,sumthing123,40,null,Harbinger
1361,TRUE,FALSE,ripperinoopepperiiiino,95,Gladiator,91f02c72ccd564293c2cba869c994d1fd5e1b9f60d9bdf2506ed80c1688d28ea,2918456838,kelzinkton,26,null,Hardcore Harbinger
1361,FALSE,FALSE,qlvrs,91,Elementalist,afb3a47bde73cda36492cfd55a887247678209a761d3aedeb33300a00a376db5,2101501328,kalavaras12,25,null,SSF Harbinger
1361,TRUE,FALSE,ThronwenSewer,88,Trickster,c7588bb37f318ebedf37ed5cb1c71e725649e15784ce5dba7c8637702f0721c5,1646943474,Thronwen,16,null,SSF Harbinger HC
1362,FALSE,FALSE,Yrnd,95,Necromancer,074b2ac2df47c1ef8694cc799aa4a3ced0661c3754847bf0969901e24501de89,2917437937,Andwyrnd,26,null,Hardcore Harbinger
1362,FALSE,FALSE,MaleseKB,98,Pathfinder,2b64aad67a86fa332d420f4871d2571827d91ec894124ce96eabb81f98f05e04,3907992374,Jamsxo,40,null,Harbinger
1362,TRUE,FALSE,TrickyHipsterTrickster,88,Trickster,da5dad3e88816b4def74d69e7290169a2284e6c4f47e9c23abac7e215123348e,1646943474,Knutt,27,flyape,SSF Harbinger HC
1362,FALSE,FALSE,SlabChunkThrust,91,Berserker,fa0243a34a4ae651c6e89aa0302d688c65ea88c10b9dd72158ac375289fa41cc,2101351917,TheFredTuttleExperience,23,null,SSF Harbinger
1363,TRUE,FALSE,HelvetetPaJorden,88,Necromancer,27174b7d0c8c1a37ff08e8c3f57f332a9303633bf7552a8392d06a2c9f2c83bd,1646943474,archained,36,dubnerfix,SSF Harbinger HC
1363,TRUE,FALSE,PhraCosplay,95,Raider,4fd403f8829ec0795c6e858d13e4ed1966c63885df30e3956330732922cd1869,2917369834,gnizz,30,gnizz,Hardcore Harbinger
1363,FALSE,FALSE,xXTwilightLoverXx,91,Ascendant,cb67dce8d8818149fd1edc713fde3f2f901772b6445e8b0562d92a608011ab0d,2101306508,jontonte,30,null,SSF Harbinger
1363,FALSE,FALSE,sokusiman,98,Pathfinder,cf069d6b98c0409502a187a125e341ecd9f6f344fd0b9d824dd75bb775e1548a,3906604407,yowaoman,36,null,Harbinger
1364,TRUE,FALSE,Ebuchi_road_to_insanity,95,Berserker,2f8403721e0a00f7f9ee55db6e32a703f7539a70184792dad4e6139fd807abf0,2917264841,HardcoreNP,39,null,Hardcore Harbinger
1364,TRUE,FALSE,TJDonutz,88,Berserker,8107838f22479b9e3de9211a44d3d3e21aeabef583fafd304493351243c98ea5,1646943474,Tasom,18,null,SSF Harbinger HC
1364,FALSE,FALSE,Furryon,91,Berserker,a360f1c8c33038dca0a7c16b2ad9eb52aaeaf51e74bb35e7ef6df794335632bd,2101277716,Matuta84,27,null,SSF Harbinger
1364,FALSE,FALSE,NiezlaRudaNieZaChuda,98,Necromancer,d4aa620adf4b45f95f8b79b4911a935877019da3a42e495111e440b150f2d2bf,3900689524,beeyata,27,null,Harbinger
